datetime,weathersit,temp,atemp,hum,windspeed,cnt
2011-01-01 00:00:00,1,0.24,0.2879,0.81,0.0,16
2011-01-01 01:00:00,1,0.22,0.2727,0.8,0.0,40
2011-01-01 02:00:00,1,0.22,0.2727,0.8,0.0,32
2011-01-01 03:00:00,1,0.24,0.2879,0.75,0.0,13
2011-01-01 04:00:00,1,0.24,0.2879,0.75,0.0,1
2011-01-01 05:00:00,2,0.24,0.2576,0.75,0.0896,1
2011-01-01 06:00:00,1,0.22,0.2727,0.8,0.0,2
2011-01-01 07:00:00,1,0.2,0.2576,0.86,0.0,3
2011-01-01 08:00:00,1,0.24,0.2879,0.75,0.0,8
2011-01-01 09:00:00,1,0.32,0.3485,0.76,0.0,14
2011-01-01 10:00:00,1,0.38,0.3939,0.76,0.2537,36
2011-01-01 11:00:00,1,0.36,0.3333,0.81,0.2836,56
2011-01-01 12:00:00,1,0.42,0.4242,0.77,0.2836,84
2011-01-01 13:00:00,2,0.46,0.4545,0.72,0.2985,94
2011-01-01 14:00:00,2,0.46,0.4545,0.72,0.2836,106
2011-01-01 15:00:00,2,0.44,0.4394,0.77,0.2985,110
2011-01-01 16:00:00,2,0.42,0.4242,0.82,0.2985,93
2011-01-01 17:00:00,2,0.44,0.4394,0.82,0.2836,67
2011-01-01 18:00:00,3,0.42,0.4242,0.88,0.2537,35
2011-01-01 19:00:00,3,0.42,0.4242,0.88,0.2537,37
2011-01-01 20:00:00,2,0.4,0.4091,0.87,0.2537,36
2011-01-01 21:00:00,2,0.4,0.4091,0.87,0.19399999999999998,34
2011-01-01 22:00:00,2,0.4,0.4091,0.94,0.2239,28
2011-01-01 23:00:00,2,0.46,0.4545,0.88,0.2985,39
2011-01-02 00:00:00,2,0.46,0.4545,0.88,0.2985,17
2011-01-02 01:00:00,2,0.44,0.4394,0.94,0.2537,17
2011-01-02 02:00:00,2,0.42,0.4242,1.0,0.2836,9
2011-01-02 03:00:00,2,0.46,0.4545,0.94,0.19399999999999998,6
2011-01-02 04:00:00,2,0.46,0.4545,0.94,0.19399999999999998,3
2011-01-02 06:00:00,3,0.42,0.4242,0.77,0.2985,2
2011-01-02 07:00:00,2,0.4,0.4091,0.76,0.19399999999999998,1
2011-01-02 08:00:00,3,0.4,0.4091,0.71,0.2239,8
2011-01-02 09:00:00,2,0.38,0.3939,0.76,0.2239,20
2011-01-02 10:00:00,2,0.36,0.3485,0.81,0.2239,53
2011-01-02 11:00:00,2,0.36,0.3333,0.71,0.2537,70
2011-01-02 12:00:00,2,0.36,0.3333,0.66,0.2985,93
2011-01-02 13:00:00,2,0.36,0.3485,0.66,0.1343,75
2011-01-02 14:00:00,3,0.36,0.3485,0.76,0.19399999999999998,59
2011-01-02 15:00:00,3,0.34,0.3333,0.81,0.1642,74
2011-01-02 16:00:00,3,0.34,0.3333,0.71,0.1642,76
2011-01-02 17:00:00,1,0.34,0.3333,0.57,0.19399999999999998,65
2011-01-02 18:00:00,2,0.36,0.3333,0.46,0.3284,53
2011-01-02 19:00:00,1,0.32,0.2879,0.42,0.4478,30
2011-01-02 20:00:00,1,0.3,0.2727,0.39,0.3582,22
2011-01-02 21:00:00,1,0.26,0.2273,0.44,0.3284,31
2011-01-02 22:00:00,1,0.24,0.2121,0.44,0.2985,9
2011-01-02 23:00:00,1,0.22,0.2273,0.47,0.1642,8
2011-01-03 00:00:00,1,0.22,0.19699999999999998,0.44,0.3582,5
2011-01-03 01:00:00,1,0.2,0.1667,0.44,0.4179,2
2011-01-03 04:00:00,1,0.16,0.1364,0.47,0.3881,1
2011-01-03 05:00:00,1,0.16,0.1364,0.47,0.2836,3
2011-01-03 06:00:00,1,0.14,0.1061,0.5,0.3881,30
2011-01-03 07:00:00,1,0.14,0.1364,0.5,0.19399999999999998,64
2011-01-03 08:00:00,1,0.14,0.1212,0.5,0.2836,154
2011-01-03 09:00:00,1,0.16,0.1364,0.43,0.3881,88
2011-01-03 10:00:00,1,0.18,0.1667,0.43,0.2537,44
2011-01-03 11:00:00,1,0.2,0.1818,0.4,0.3284,51
2011-01-03 12:00:00,1,0.22,0.2121,0.35,0.2985,61
2011-01-03 13:00:00,1,0.24,0.2121,0.35,0.2836,61
2011-01-03 14:00:00,1,0.26,0.2424,0.3,0.2836,77
2011-01-03 15:00:00,1,0.26,0.2424,0.3,0.2537,72
2011-01-03 16:00:00,1,0.26,0.2424,0.3,0.2537,76
2011-01-03 17:00:00,1,0.24,0.2273,0.3,0.2239,157
2011-01-03 18:00:00,1,0.24,0.2576,0.32,0.1045,157
2011-01-03 19:00:00,1,0.2,0.2576,0.47,0.0,110
2011-01-03 20:00:00,1,0.2,0.2273,0.47,0.1045,52
2011-01-03 21:00:00,1,0.18,0.19699999999999998,0.64,0.1343,52
2011-01-03 22:00:00,1,0.14,0.1515,0.69,0.1343,20
2011-01-03 23:00:00,1,0.18,0.2121,0.55,0.1045,12
2011-01-04 00:00:00,1,0.16,0.1818,0.55,0.1045,5
2011-01-04 01:00:00,1,0.16,0.1818,0.59,0.1045,2
2011-01-04 02:00:00,1,0.14,0.1515,0.63,0.1343,1
2011-01-04 04:00:00,1,0.14,0.1818,0.63,0.0896,2
2011-01-04 05:00:00,1,0.12,0.1515,0.68,0.1045,4
2011-01-04 06:00:00,1,0.12,0.1515,0.74,0.1045,36
2011-01-04 07:00:00,1,0.12,0.1515,0.74,0.1343,94
2011-01-04 08:00:00,1,0.14,0.1515,0.69,0.1642,179
2011-01-04 09:00:00,1,0.16,0.1515,0.64,0.2239,100
2011-01-04 10:00:00,2,0.16,0.1364,0.69,0.3284,42
2011-01-04 11:00:00,1,0.22,0.2121,0.51,0.2985,57
2011-01-04 12:00:00,1,0.22,0.2273,0.51,0.1642,78
2011-01-04 13:00:00,1,0.24,0.2273,0.56,0.19399999999999998,97
2011-01-04 14:00:00,1,0.26,0.2576,0.52,0.2239,63
2011-01-04 15:00:00,1,0.28,0.2727,0.52,0.2537,65
2011-01-04 16:00:00,1,0.3,0.2879,0.49,0.2537,83
2011-01-04 17:00:00,1,0.28,0.2727,0.48,0.2239,212
2011-01-04 18:00:00,1,0.26,0.2576,0.48,0.19399999999999998,182
2011-01-04 19:00:00,1,0.24,0.2576,0.48,0.1045,112
