Month,Python,SQL,R,JavaScript,Visual Basic for Applications
2004-01-01,14,84,6,88,14
2004-02-01,14,94,6,95,16
2004-03-01,15,93,<5,89,15
2004-04-01,14,96,7,90,15
2004-05-01,12,91,6,87,14
2004-06-01,14,100,6,89,17
2004-07-01,15,98,6,86,16
2004-08-01,15,94,<5,88,17
2004-09-01,15,88,6,80,16
2004-10-01,15,89,7,77,14
2004-11-01,13,84,6,73,14
2004-12-01,14,84,6,72,14
2005-01-01,14,82,7,69,14
2005-02-01,14,86,7,74,15
2005-03-01,14,86,7,71,15
2005-04-01,13,85,7,72,14
2005-05-01,14,83,7,70,14
2005-06-01,15,89,7,73,16
2005-07-01,14,82,7,68,14
2005-08-01,14,80,6,70,15
2005-09-01,13,79,7,67,13
2005-10-01,15,76,7,66,13
2005-11-01,14,78,7,63,13
2005-12-01,13,71,7,62,13
2006-01-01,13,71,7,59,12
2006-02-01,14,78,8,64,13
2006-03-01,13,78,7,65,13
2006-04-01,13,74,7,62,12
2006-05-01,13,78,7,62,12
2006-06-01,12,77,8,62,13
2006-07-01,13,73,8,60,12
2006-08-01,13,73,8,61,12
2006-09-01,14,68,9,56,12
2006-10-01,14,70,10,57,11
2006-11-01,13,69,9,56,11
2006-12-01,13,60,9,54,10
2007-01-01,13,64,9,53,11
2007-02-01,13,66,9,54,11
2007-03-01,13,68,9,56,11
2007-04-01,13,69,9,54,10
2007-05-01,13,68,9,54,11
2007-06-01,13,69,9,53,12
2007-07-01,13,69,8,53,12
2007-08-01,12,67,8,53,12
2007-09-01,12,62,9,52,11
2007-10-01,13,68,9,53,11
2007-11-01,12,64,9,52,11
2007-12-01,13,57,8,49,10
2008-01-01,12,62,8,48,10
2008-02-01,13,62,9,48,11
2008-03-01,12,59,8,48,11
2008-04-01,13,62,9,50,11
2008-05-01,13,63,8,46,11
2008-06-01,13,61,8,49,11
2008-07-01,12,64,8,49,12
2008-08-01,12,58,8,45,11
2008-09-01,12,60,8,46,10
2008-10-01,13,59,8,44,11
2008-11-01,12,56,8,43,11
2008-12-01,12,53,8,41,10
2009-01-01,12,51,8,38,10
2009-02-01,13,57,8,45,11
2009-03-01,13,59,8,46,11
2009-04-01,13,57,8,44,11
2009-05-01,12,54,7,43,10
2009-06-01,12,56,7,43,11
2009-07-01,13,55,7,42,11
2009-08-01,12,53,7,41,10
2009-09-01,13,54,7,39,10
2009-10-01,13,52,7,39,10
2009-11-01,13,52,7,39,10
2009-12-01,12,49,7,38,10
2010-01-01,12,48,7,37,10
2010-02-01,12,51,7,38,10
2010-03-01,13,55,7,39,11
2010-04-01,12,52,7,38,10
2010-05-01,12,49,7,36,10
2010-06-01,12,54,7,37,11
2010-07-01,12,48,7,35,10
2010-08-01,12,47,7,33,10
2010-09-01,12,46,8,34,9
2010-10-01,13,45,8,33,10
2010-11-01,12,45,8,32,9
2010-12-01,12,41,8,31,9
2011-01-01,12,42,8,30,9
2011-02-01,12,44,9,32,9
2011-03-01,13,45,9,32,9
2011-04-01,12,44,9,33,9
2011-05-01,12,42,9,33,9
2011-06-01,12,44,9,33,10
2011-07-01,12,41,9,32,9
2011-08-01,12,39,9,31,9
2011-09-01,12,42,10,32,9
2011-10-01,13,40,10,30,8
2011-11-01,13,41,10,32,9
2011-12-01,11,35,10,28,8
2012-01-01,12,36,10,30,8
2012-02-01,13,39,11,32,9
2012-03-01,13,40,11,32,9
2012-04-01,13,37,11,31,8
2012-05-01,13,39,11,32,8
2012-06-01,12,38,10,30,8
2012-07-01,13,37,10,31,9
2012-08-01,12,35,10,32,8
2012-09-01,13,36,11,31,8
2012-10-01,14,38,12,31,8
2012-11-01,14,35,11,30,8
2012-12-01,12,31,10,27,7
2013-01-01,14,34,10,29,7
2013-02-01,15,34,11,30,8
2013-03-01,15,34,11,31,8
2013-04-01,14,35,11,30,8
2013-05-01,14,35,10,30,8
2013-06-01,13,33,10,28,8
2013-07-01,14,35,10,30,8
2013-08-01,14,33,10,29,7
2013-09-01,15,33,10,30,7
2013-10-01,16,35,11,32,8
2013-11-01,16,34,11,30,8
2013-12-01,14,29,10,28,7
2014-01-01,15,31,11,31,7
2014-02-01,16,34,11,31,8
2014-03-01,16,34,11,31,8
2014-04-01,16,33,11,32,8
2014-05-01,16,33,11,30,8
2014-06-01,14,33,10,30,8
2014-07-01,15,35,11,30,8
2014-08-01,15,31,10,29,7
2014-09-01,17,33,11,31,8
2014-10-01,17,33,11,30,8
2014-11-01,17,31,11,30,8
2014-12-01,15,30,11,28,7
2015-01-01,16,30,11,30,7
2015-02-01,18,33,11,32,8
2015-03-01,18,33,11,33,8
