,laptop_id,company,product,type_name,inches,screen_resolution,screen_resolution_width,screen_resolution_height,cpu,ram,memory_disk,memory_ssd,gpu,op_sys,weight,price
0,1,Apple,MacBook Pro,Ultrabook,13.3,2560x1600,2560,1600,Intel Core,8,128,SSD,Intel,macOS,1.37,1339.69
1,2,Apple,Macbook Air,Ultrabook,13.3,1440x900,1440,900,Intel Core,8,128,Storage,Intel,macOS,1.34,898.94
2,3,HP,250 G6,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,No OS,1.86,575.0
3,4,Apple,MacBook Pro,Ultrabook,15.4,2880x1800,2880,1800,Intel Core,16,512,SSD,AMD,macOS,1.83,2537.45
4,5,Apple,MacBook Pro,Ultrabook,13.3,2560x1600,2560,1600,Intel Core,8,256,SSD,Intel,macOS,1.37,1803.6
5,6,Acer,Aspire 3,Notebook,15.6,1366x768,1366,768,AMD,4,500,HDD,AMD,Windows 10,2.1,400.0
6,7,Apple,MacBook Pro,Ultrabook,15.4,2880x1800,2880,1800,Intel Core,16,256,Storage,Intel,macOS,2.04,2139.97
7,8,Apple,Macbook Air,Ultrabook,13.3,1440x900,1440,900,Intel Core,8,256,Storage,Intel,macOS,1.34,1158.7
8,9,Asus,ZenBook UX430UN,Ultrabook,14.0,1920x1080,1920,1080,Intel Core,16,512,SSD,Nvidia,Windows 10,1.3,1495.0
9,10,Acer,Swift 3,Ultrabook,14.0,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.6,770.0
10,11,HP,250 G6,Notebook,15.6,1366x768,1366,768,Intel Core,4,500,HDD,Intel,No OS,1.86,393.9
11,12,HP,250 G6,Notebook,15.6,1920x1080,1920,1080,Intel Core,4,500,HDD,Intel,No OS,1.86,344.99
12,13,Apple,MacBook Pro,Ultrabook,15.4,2880x1800,2880,1800,Intel Core,16,256,SSD,AMD,macOS,1.83,2439.97
13,14,Dell,Inspiron 3567,Notebook,15.6,1920x1080,1920,1080,Intel Core,4,256,SSD,AMD,Windows 10,2.2,498.9
14,15,Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,2304,1440,Intel Core,8,256,SSD,Intel,macOS,0.92,1262.4
15,16,Apple,MacBook Pro,Ultrabook,13.3,2560x1600,2560,1600,Intel Core,8,256,SSD,Intel,macOS,1.37,1518.55
16,17,Dell,Inspiron 3567,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,AMD,Windows 10,2.2,745.0
17,18,Apple,MacBook Pro,Ultrabook,15.4,2880x1800,2880,1800,Intel Core,16,512,SSD,AMD,macOS,1.83,2858.0
18,19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,1000,HDD,Nvidia,No OS,2.2,499.0
19,20,Dell,XPS 13,Ultrabook,13.3,1920x1080,1920,1080,Intel Core,8,128,SSD,Intel,Windows 10,1.22,979.0
20,21,Asus,Vivobook E200HA,Netbook,11.6,1366x768,1366,768,Intel Other,2,32,Storage,Intel,Windows 10,0.98,191.9
21,22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,1920,1080,Intel Core,8,128,HDD,Nvidia,Windows 10,2.5,999.0
22,23,HP,255 G6,Notebook,15.6,1366x768,1366,768,AMD,4,500,HDD,AMD,No OS,1.86,258.0
23,24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.62,819.0
24,25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.91,659.0
25,26,Dell,Inspiron 3567,Notebook,15.6,1366x768,1366,768,Intel Core,4,1000,HDD,Intel,Windows 10,2.3,418.64
26,27,Apple,MacBook Air,Ultrabook,13.3,1440x900,1440,900,Intel Core,8,128,Storage,Intel,macOS,1.35,1099.0
27,28,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,AMD,Windows 10,2.2,800.0
28,29,Dell,Latitude 5590,Ultrabook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.88,1298.0
29,30,HP,ProBook 470,Notebook,17.3,1920x1080,1920,1080,Intel Core,8,1000,HDD,Nvidia,Windows 10,2.5,896.0
30,31,Chuwi,"LapBook 15.6""",Notebook,15.6,1920x1080,1920,1080,Intel Other,4,64,Storage,Intel,Windows 10,1.89,244.99
31,32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,1366,768,AMD,2,32,Storage,AMD,Windows 10,1.65,199.0
32,33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,1920x1080,1920,1080,AMD,4,500,HDD,AMD,Windows 10,2.71,439.0
